Year, NOM
1901, 2959
1902, -4293
1903, -9876
1904, -2983
1905, -2600
1906, -5049
1907, 5195
1908, 5437
1909, 21783
1910, 29912
1911, 74379
1912, 91892
1913, 63227
1914, -8226
1915, -84410
1916, -128737
1917, -17822
1918, 23359
1919, 166303
1920, 27606
1921, 17525
1922, 40157
1923, 39714
1924, 46069
1925, 39762
1926, 42282
1927, 49401
1928, 28864
1929, 10087
1930, -9833
1931, -12117
1932, -4608
1933, -1364
1934, -388
1935, 1251
1936, 1283
1937, 5075
1938, 8145
1939, 12527
1940, 10676
1941, 5136
1942, 8536
1943, 1587
1944, -1761
1945, -3273
1946, -11589
1947, 12186
1948, 48468
1949, 149270
1950, 153685
1951, 110362
1952, 97454
1953, 42883
1954, 68565
1955, 95317
1956, 102105
1957, 77622
1958, 64879
1959, 83578
1960, 92776
1961, 65439
1962, 64638
1963, 76844
1964, 103999
1965, 111609
1966, 95931
1967, 96558
1968, 123452
1969, 140331
1970, 138382
1971, 103553
1972, 56320
1973, 67494
1974, 87248
1975, 13515
1976, 33997
1977, 68030
1978, 47394
1979, 68611
1980, 100940
1981, 123066
1982, 102709
1983, 54995
1984, 59823
1985, 89319
1986, 110661
1987, 136093
1988, 172794
1989, 129478
1990, 97131
1991, 81669
1992, 51358
1993, 34822
1994, 55506
1995, 106864
1996, 97444
1997, 72402
1998, 88781
1999, 104210
2000, 111441
2001, 136076
2002, 110475
2003, 110104
2004, 106425
2005, 137000
2006, 182100
2007, 244000
2008, 315700
2009, 246900
2010, 172000
2011, 205700
2012, 237400
2013, 206200
2014, 178000
2015, 177100