year, senate, reps
1901, 85, 113
1902, 93, 107
1903, 62, 78
1904, 64, 122
1905, 66, 90
1906, 57, 70
1907, 65, 97
1908, 84, 91
1909, 71, 98
1910, 65, 83
1911, 46, 61
1912, 60, 105
1913, 34, 74
1914, 53, 61
1915, 57, 72
1916, 33, 32
1917, 48, 52
1918, 68, 86
1919, 39, 51
1920, 76, 114
1921, 79, 93
1922, 44, 53
1923, 35, 52
1924, 64, 83
1925, 31, 36
1926, 61, 84
1927, 44, 59
1928, 43, 62
1929, 43, 54
1930, 64, 98
1931, 76, 94
1932, 53, 73
1933, 49, 67
1934, 22, 35
1935, 37, 55
1936, 49, 71
1937, 27, 29
1938, 46, 66
1939, 33, 51
1940, 34, 43
1941, 38, 50
1942, 36, 45
1943, 36, 48
1944, 43, 57
1945, 51, 90
1946, 42, 65
1947, 38, 92
1948, 39, 90
1949, 32, 80
1950, 66, 83
1951, 40, 56
1952, 39, 74
1953, 37, 61
1954, 35, 48
1955, 36, 52
1956, 58, 79
1957, 54, 63
1958, 37, 48
1959, 71, 71
1960, 71, 74
1961, 52, 55
1962, 65, 66
1963, 42, 53
1964, 62, 65
1965, 63, 76
1966, 46, 55
1967, 65, 62
1968, 68, 67
1969, 53, 51
1970, 73, 73
1971, 73, 74
1972, 63, 60
1973, 80, 81
1974, 64, 62
1975, 72, 69
1976, 79, 79
1977, 70, 68
1978, 76, 75
1979, 71, 68
1980, 57, 51
1981, 72, 62
1982, 73, 53
1983, 63, 49
1984, 63, 52
1985, 74, 66
1986, 86, 79
1987, 84, 74
1988, 89, 65
1989, 92, 59
1990, 59, 38
1991, 83, 67
1992, 76, 44
1993, 53, 46
1994, 80, 68
1995, 78, 70
1996, 71, 61
1997, 82, 76
1998, 57, 54
1999, 79, 73
2000, 71, 73
2001, 52, 56
2002, 60, 69
2003, 64, 75
2004, 49, 59
2005, 57, 67
2006, 58, 68
2007, 41, 50
2008, 52, 69
2009, 53, 68
2010, 40, 55
2011, 56, 64
2012, 57, 67
2013, 37, 48
2014, 63, 76
2015, 60, 75
2016, 42, 51
2017, 56, 64